bin,n,mean_probability,observed_positive_rate,absolute_gap,provider,model,condition_id,definition_id,prompt_style,label_space,seed
"(0.1, 0.2]",6,0.15,0.6666666666666666,0.5166666666666666,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.2, 0.3]",0,,,,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.3, 0.4]",0,,,,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.4, 0.5]",0,,,,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.5, 0.6]",0,,,,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.6, 0.7]",5,0.7,0.8,0.10000000000000009,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.7, 0.8]",0,,,,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.8, 0.9]",4,0.8625,1.0,0.13749999999999996,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.9, 1.0]",3,0.9499999999999998,1.0,0.050000000000000155,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(-0.001, 0.1]",27,0.05925925925925926,0.7037037037037037,0.6444444444444445,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.1, 0.2]",6,0.15833333333333333,0.6666666666666666,0.5083333333333333,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.2, 0.3]",0,,,,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.3, 0.4]",0,,,,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.4, 0.5]",0,,,,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.5, 0.6]",0,,,,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.6, 0.7]",0,,,,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.7, 0.8]",4,0.8,1.0,0.19999999999999996,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.8, 0.9]",3,0.8666666666666667,1.0,0.1333333333333333,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.9, 1.0]",2,0.95,1.0,0.050000000000000044,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(-0.001, 0.1]",27,0.06740740740740742,0.6666666666666666,0.5992592592592592,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.1, 0.2]",8,0.15,0.875,0.725,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.2, 0.3]",0,,,,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.3, 0.4]",0,,,,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.4, 0.5]",0,,,,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.5, 0.6]",0,,,,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.6, 0.7]",2,0.675,1.0,0.32499999999999996,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.7, 0.8]",0,,,,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.8, 0.9]",3,0.8833333333333333,1.0,0.1166666666666667,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.9, 1.0]",2,0.95,1.0,0.050000000000000044,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(-0.001, 0.1]",6,0.06333333333333334,0.5,0.43666666666666665,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
"(0.1, 0.2]",12,0.16416666666666666,0.75,0.5858333333333333,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
"(0.2, 0.3]",7,0.26285714285714284,0.7142857142857143,0.45142857142857146,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
"(0.3, 0.4]",1,0.36,1.0,0.64,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
"(0.4, 0.5]",1,0.45,1.0,0.55,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
"(0.5, 0.6]",0,,,,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
"(0.6, 0.7]",4,0.645,0.75,0.10499999999999998,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
"(0.7, 0.8]",4,0.7575000000000001,0.75,0.007500000000000062,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
"(0.8, 0.9]",4,0.865,1.0,0.135,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
"(0.9, 1.0]",3,0.9533333333333333,1.0,0.046666666666666745,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
"(-0.001, 0.1]",22,0.04613636363636364,0.6363636363636364,0.5902272727272727,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.1, 0.2]",5,0.164,0.6,0.43599999999999994,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.2, 0.3]",2,0.22,1.0,0.78,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.3, 0.4]",1,0.31,1.0,0.69,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.4, 0.5]",0,,,,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.5, 0.6]",2,0.58,1.0,0.42000000000000004,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.6, 0.7]",4,0.6599999999999999,1.0,0.3400000000000001,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.7, 0.8]",3,0.7666666666666666,1.0,0.2333333333333334,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.8, 0.9]",1,0.82,1.0,0.18000000000000005,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.9, 1.0]",2,0.98,1.0,0.020000000000000018,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(-0.001, 0.1]",25,0.047599999999999996,0.6,0.5524,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.1, 0.2]",3,0.15,1.0,0.85,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.2, 0.3]",6,0.255,1.0,0.745,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.3, 0.4]",1,0.32,1.0,0.6799999999999999,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.4, 0.5]",1,0.44,1.0,0.56,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.5, 0.6]",0,,,,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.6, 0.7]",1,0.65,1.0,0.35,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.7, 0.8]",1,0.78,1.0,0.21999999999999997,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.8, 0.9]",1,0.88,1.0,0.12,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.9, 1.0]",3,0.9566666666666667,1.0,0.043333333333333335,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(-0.001, 0.1]",27,0.04518518518518518,0.6296296296296297,0.5844444444444444,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.1, 0.2]",3,0.15333333333333332,1.0,0.8466666666666667,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.2, 0.3]",1,0.22,1.0,0.78,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.3, 0.4]",2,0.33999999999999997,1.0,0.66,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.4, 0.5]",1,0.43,1.0,0.5700000000000001,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.5, 0.6]",0,,,,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.6, 0.7]",2,0.635,1.0,0.365,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.7, 0.8]",2,0.72,1.0,0.28,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.8, 0.9]",0,,,,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.9, 1.0]",4,0.9475,1.0,0.05249999999999999,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(-0.001, 0.1]",27,0.04518518518518518,0.6296296296296297,0.5844444444444444,openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.1, 0.2]",7,0.1542857142857143,1.0,0.8457142857142856,openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.2, 0.3]",1,0.24,1.0,0.76,openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.3, 0.4]",0,,,,openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.4, 0.5]",2,0.43,1.0,0.5700000000000001,openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.5, 0.6]",1,0.58,1.0,0.42000000000000004,openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.6, 0.7]",0,,,,openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.7, 0.8]",1,0.72,1.0,0.28,openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.8, 0.9]",1,0.82,1.0,0.18000000000000005,openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.9, 1.0]",2,0.98,1.0,0.020000000000000018,openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
