method,row_id,document,gold_binary,score,prediction,mean_selected_threshold,prediction_vote_share,cv_appearances,provider,model,condition_id,definition_id,prompt_style,label_space,seed
raw_0.5,P025,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P026,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.85,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P027,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.25,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P028,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P029,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P030,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.25,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P031,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P032,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.65,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P033,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.25,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P034,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P035,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.3,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P036,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P037,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.85,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P038,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P039,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,0,0.28,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P040,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P041,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.65,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P042,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P001,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.85,1,0.76,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P002,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P003,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P004,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P005,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P006,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P007,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.15,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P008,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P009,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.25,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P010,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P011,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P012,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.25,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P013,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P014,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.25,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P015,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.15,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P016,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P017,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P018,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.15,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P019,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.25,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P020,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.75,0,0.76,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P021,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.85,1,0.76,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P022,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.65,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P023,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P024,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P025,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P026,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.85,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P027,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.25,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P028,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P029,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P030,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.25,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P031,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P032,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.65,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P033,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.25,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P034,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P035,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.3,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P036,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P037,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.85,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P038,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P039,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,0,0.28,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P040,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P041,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.65,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_tuned_threshold,P042,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.75,0,0.86,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P001,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.900028959428373,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P002,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P003,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P004,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P005,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P006,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P007,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.36936704290459793,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P008,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P009,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.4914999481012249,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P010,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P011,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P012,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.4914999481012249,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P013,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P014,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.4914999481012249,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P015,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.36936704290459793,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P016,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P017,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P018,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.36936704290459793,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P019,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.4914999481012249,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P020,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.8450923411472281,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P021,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.900028959428373,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P022,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.7848454720973191,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P023,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.7822351170556842,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P024,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.7822351170556842,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P025,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.7822351170556842,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P026,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.7787382503182371,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P027,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.7940077979318347,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P028,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.7822351170556842,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P029,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.7822351170556842,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P030,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.7940077979318347,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P031,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.7822351170556842,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P032,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.7848454720973191,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P033,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.7940077979318347,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P034,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.7822351170556842,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P035,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",0,0.7926854910038242,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P036,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.7332408608579676,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P037,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.7241494347014686,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P038,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.7332408608579676,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P039,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,0,0.7611267492598234,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P040,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.7332408608579676,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P041,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.7399689106159523,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
platt_0.5,P042,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,1,0.7332408608579676,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
