row_id,document_id,document_title,gold_historical,gold_final_definition,gold_target,target_text,gold_for_target_audit,gold_target_set,gold_target_count,potential_multilabel,unmapped_nonempty_target,positive_missing_or_unmapped_target,negative_has_positive_target
P011,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,Yes,,,"We found no evidence that hurricane response activities were negatively impacted by these coordination issues. For example, EPA Regions 4 and 6 used ESF-10 to obtain the necessary funding to get their personnel into the field. According to EPA Region 4 officials, ESF-10 (which EPA leads and involves responding to Oil and Hazardous Materials emergencies) was modified after prior hurricanes to provide initial response funding to allow EPA to quickly assess drinking water conditions after a hurricane.",Yes,,0,False,False,True,False
P012,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,Yes,,,". . . develop integrated operational plans, procedures and capabilities for their support to the base NRP and all ESFs and Support Annexes…. Each primary department or Agency for each ESF and support annex should develop a detailed operations plan on how they will become operational and coordinate with other annexes and ESF’s during a major incident.",Yes,,0,False,False,True,False
P013,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,Yes,,,"Region 4 officials concurred that there is a need for EPA to play a more direct role in responding with USACE to water issues under ESF-3, similar to what is currently done with the U.S. Coast Guard support to EPA under ESF-10. Region 4 suggested a coordinated EPA effort, including headquarters support, to work with USACE to address mission assignments and interagency agreements. As it has done in the past for other hurricanes, Region 4 has started a lessons learned review that it plans to share with other EPA regions.",Yes,,0,False,False,True,False
P014,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,Yes,,,"According to Region 6 officials, the NPDES Permits and Water Enforcement Branches were jointly charged with putting together an assessment of the wastewater facilities in Louisiana. Region 6 noted that in the first few days there was a huge gap in the information available, and that staff were unable to contact the facilities themselves. As a result, EPA staff charged with getting the information utilized all the resources available to them, which included trying different points of contact. Region 6 officials believe these efforts may have led to some appearance of duplication of efforts. Region 6 officials further explained that within a week, as information became clearer, EPA assigned separate and specific followup tasks to personnel in the branches. Region 6 officials noted that both LDEQ and EPA had a statutory role in implementing the program. Both staffs were co-located in LDEQ offices in Baton Rouge, Louisiana, and staff freely shared information. With respect to both coordination issues discussed, Region 6 informed us that, to the extent there was any duplication of effort, it was only a result of an attempt to ensure that all wastewater facilities were reached, evaluated, and assisted as quickly as possible.",Yes,,0,False,False,True,False
P015,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,Yes,,,"Region 6 officials said they have established a senior liaison position between Region 6 and Louisiana, defined roles and responsibilities between EPA and the States, and developed a DVD that addresses emergency response activities.",Yes,,0,False,False,True,False
P016,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,Yes,,,"During emergencies such as Hurricane Katrina, there is an immediate need for decision makers at various levels of government to have reliable water quality data. One of the databases used by EPA to store floodwater data is the SCRIBE database. EPA provided access to the data to officials at the State level and New Orleans parishes. However, Louisiana officials had trouble querying the database due to a lack of training and had trouble verifying the quality of data due to inconsistent data entry. Set protocols would address these types of issues.",Yes,,0,False,False,True,False
P017,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,Yes,,,"Response: EPA met with representatives from USACE in May to discuss emergency response roles and responsibilities that pertain to drinking water and wastewater systems. USACE and EPA agreed that the USACE ESF-3 Standard Operating Procedures (SOP) guidance should include drinking water and wastewater system assessment and repair, and that additional mechanisms (such as pre-scripted Mission Assignments) should be identified to facilitate this mission. Following the meeting, USACE created new draft ESF-3 pre-scripted mission assignments that include language for activating EPA support representatives to the ESF-3 Team and for providing direct federal and technical assistance to states and drinking water and wastewater utilities. EPA will meet with USACE and other ESF #3 support agencies in August to discuss ESF-3 agency roles and capabilities and will continue to work with USACE to ensure that current ESF #3 SOPs can be appropriately updated and revised.",Yes,,0,False,False,True,False
P018,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,Yes,,,"EPA, the U.S. Coast Guard, and LDEQ worked together with local industries to assess, manage, and mitigate environmental damage resulting from oil spills in affected areas of Louisiana. There have been at least five major oil spills reported, each involving over 100,000 gallons, and one spill impacted a residential neighborhood. EPA is providing oversight of the residential cleanup as well as conducting independent sampling. EPA provided its sample results to ATSDR for evaluation and notification to the public. ATSDR concluded that short- and long-term exposures to sediments in the oil spill area do not pose a public health hazard. However, ATSDR recommended that returning residents should avoid direct contact with the oil contaminated sediments, as they may cause skin irritation. Sample results, activities performed, and recommendations for short-term protectiveness related to the Murphy Oil Spill are posted on EPA’s public Website as the information becomes available.",Yes,,0,False,False,True,False
P019,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,Yes,,,"Although the analytical capacity for Mississippi and Louisiana was diminished after Katrina, EPA Regions 4, 6, and 8 addressed this by providing mobile laboratories and staff to Mississippi and Louisiana to provide monitoring and analytical support for drinking water. Though Region 8 was not impacted, it provided a mobile laboratory.",Yes,,0,False,False,True,False
P020,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,No,,,• Louisiana officials experienced problems in querying data and in verifying the quality of data in EPA’s database used to collect floodwater results. EPA Region 6 officials said that they have provided training and a Users Guide to State officials in order to correct this problem.,No,,0,False,False,False,False
P021,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,No,,,"With respect to improving coordination with USACE, Region 6 told us that it plans to conduct a series of interagency planning meetings to establish coordination protocols under a Memorandum of Understanding with USACE. Similar efforts are also planned with the Federal Emergency Management Agency. In an effort to prepare for future events of national significance, Region 6 noted that there will be additional training for EPA Region 6 and State staff on the Incident Command System, the NRP, and ESF support functions. The February 2006 White House report, The Federal Response to Hurricane Katrina: Lessons Learned, also addressed this coordination issue, and recommends that agencies:",No,,0,False,False,False,False
P022,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",Yes,,,"• Because of FEMA’s mission performance during Hurricane Katrina, concerns have been raised regarding the agency’s organizational placement, including whether it should be disbanded and functions moved to other agencies, remain within the Department of Homeland Security, or become an independent agency. However, other factors such as leadership and resources may be more important to FEMA’s future success than organizational placement.",Yes,,0,False,False,True,False
P023,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",Yes,,,"In addition, we have done a great deal of work on prior disasters. In 1993, we conducted several reviews examining the federal response to Hurricane Andrew. The reviews focused on the unique challenges involved in responding to “catastrophic disasters.” 2 These reviews defined “catastrophic disasters” as a subset of other disasters requiring federal assistance. Unlike the bulk of the disasters requiring FEMA to respond, catastrophic disasters can overwhelm the ability of state, local and voluntary agencies to adequately provide victims with essential services, such as food and water, within 12 to 24 hours. These prior GAO reports focused on improving the immediate response to catastrophic disasters, and we made various recommendations within this context. We recommended that, in a catastrophic disaster, (1) a single individual directly responsible and accountable to the President should be designated to act as the central focal point to lead and coordinate the overall federal response when a catastrophic disaster has happened or is imminent, (2) FEMA should immediately establish a disaster unit to independently assess damage and estimate response needs following a catastrophic disaster, and (3) FEMA should enhance the capacity of state and local governments to respond to catastrophic disasters by (a) continuing to give them increasing flexibility to match grant funding with individual response needs, (b) upgrading training and exercises for catastrophic disaster response, and (c) assessing each state’s preparedness for catastrophic disaster response. We also recommended that Congress should consider (1) giving FEMA and other federal agencies explicit authority to take actions to prepare for catastrophic disasters when there is warning and (2) removing statutory restrictions on DOD’s authority to activate Reserve units for catastrophic disaster relief.",Yes,,0,False,False,True,False
P024,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",Yes,,,"Because it is possible to respond to incidents maturing to catastrophic magnitude in a more proactive manner than surprise catastrophic incidents, it does not make sense to exclude evolving catastrophic incidents from the scope of the annex’s coverage. The White House report on the federal response to Hurricane Katrina also questioned this exclusion. As the White House report states, “Ultimately, when a catastrophic incident occurs, regardless of whether the catastrophe has been a warned or is a surprise event, the Federal government should not rely on the traditional layered approach and instead should proactively provide, or ‘push,’ its capabilities and assistance directly to those in need.”",Yes,,0,False,False,True,False
P025,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",Yes,,,"A proactive approach to catastrophic disasters when there is warning is also in keeping with recommendations we made in 1993 following Hurricane Andrew. At that time, from an administrative perspective, we recommended that FEMA improve its catastrophic disaster response capability by using existing authority to aggressively respond to catastrophic disasters, assessing the extent of the damage, and then advising state and local officials of identified needs and the federal resources available to address them. From a legislative standpoint, we recommended that Congress should consider giving federal agencies explicit authority to take actions to prepare for catastrophic disasters when there is warning. We continue to believe that actions such as these are warranted.",Yes,,0,False,False,True,False
P026,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",Yes,,,"I want to emphasize that across these capabilities, streamlining, simplifying, and expediting decision making should quickly replace “business as usual” and the unquestioned following of long-standing policies and operating procedures. We were told of many examples where quick action could not occur as agencies followed procedures that required extensive, time-consuming processes, delaying the delivery of vital supplies and other assistance. When there is a catastrophic disaster, temporarily suspending certain rules and regulations may be necessary in order to expedite relief and recovery of the affected area, even if such a suspension requires legislation. The key is to recognize when flexibility is needed to meet response and recovery needs in a catastrophic disaster.",Yes,,0,False,False,True,False
P027,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",Yes,,,"Our work on interoperable communications identified problem definition, performance goals and standards, and defining the roles of federal, state, local government and other entities as the three principal challenges to achieving effective interoperable communications for first responders. The single greatest barrier to addressing the decades-old problems of interoperable communications has been the lack of effective, collaborative, interdisciplinary, and intergovernmental planning. No one first-responder group or governmental agency can “fix” the interoperability problems that face the nation. We believe that our 2004 recommendations to the Secretary of DHS are still appropriate: (1) work with the Federal Communications Commission to develop a nationwide database of interoperable communications frequencies and a common nomenclature so that first responders from different disciplines and jurisdictions can quickly identify shared frequencies when arriving at the scene of an incident; (2) establish interoperability requirements whose achievement can be measured; and (3) through grants, encourage states to establish statewide bodies that will develop a comprehensive statewide interoperable communications plan and condition the purchase of new equipment on the adoption of such a plan.",Yes,,0,False,False,True,False
P028,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",Yes,,,"Damage and needs assessment: Damage and needs assessment is the capability to immediately conduct damage assessments of infrastructure and to estimate services needed by disaster victims. The scope of the devastation and the flooding in the New Orleans area made a comprehensive damage assessment and estimate of services victims might need very difficult. Clearly, the military has significant capability through a range of reconnaissance aircraft and satellite imagery. However, while some capabilities were employed, there had been no advance planning among federal, state, and local responders as to how DOD would provide these capabilities in the event of a catastrophic disaster.",Yes,,0,False,False,True,False
P029,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",No,,,"Logistics: Logistics is the capability to identify, dispatch, mobilize, and demobilize and to accurately track and record available critical resources throughout all incident management phases. Our early work indicates that logistics systems were often totally overwhelmed by Hurricane Katrina. The result was that critical resources apparently were not available, properly distributed, or provided in a timely manner. In addition, acquisition efforts, while noteworthy given the scope of Hurricane Katrina, indicated agencies needed additional capabilities to (1) adequately anticipate requirements for needed goods and services, (2) clearly communicate responsibilities across agencies and jurisdictions, and (3) deploy sufficient numbers of personnel to provide contractor oversight.",No,,0,False,False,False,False
P030,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",No,,,"Some of the changes that the government will need to prepare for catastrophic disasters are relatively inexpensive. Establishing more robust surveillance and warning mechanisms should build on existing systems, with communication of known information a key feature. Developing more detailed plans for ramping up from a “normal” disaster to a catastrophic disaster where warranted will impose additional costs. Providing the needed training to ensure the readiness of first responders and exercising the catastrophic disaster plans are much more costly endeavors, as well as increasing the quantity and quality of the federal government’s preparedness and response capabilities.",No,,0,False,False,False,False
P031,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",Yes,,,"Because of FEMA’s mission performance during Hurricane Katrina, concerns have been raised regarding the agency’s organizational placement, including whether it should be disbanded and functions moved to other agencies, remain within the Department of Homeland Security, or again become an independent agency. Importantly, other factors, such as the experience of and training provided to FEMA leadership and adequacy of resources may be more important to FEMA’s future success than its organizational placement. Organizational changes, such as separating FEMA from DHS, are often viewed as a quick fix to address performance issues. Based on our institutional knowledge regarding organizational performance factors, organizational changes alone may not adequately address underlying systemic conditions that result in an organization’s performance problem. Conditions underlying FEMA’s performance during Hurricane Katrina could involve the experience and training of DHS or FEMA leadership; the clarity of FEMA’s mission and related responsibilities and authorities to achieve mission performance expectations; the adequacy of its human, financial, and technological resources; and the effectiveness of planning, exercises, and related partnerships. These factors have been highlighted, for example, by the House Select Committee which noted (1) senior officials were ill prepared due to their lack of experience and knowledge of the required roles and responsibilities prescribed by the NRP, (2) DHS and FEMA lacked adequately trained and experienced staff for the Katrina response, observing that FEMA had lost, since 2002, a number of its top disaster specialists, senior leaders, and experienced personnel, described as “FEMA brain drain,” and that even before Hurricane Katrina, FEMA suffered from a lack of sufficiently trained procurement professionals, and (3) FEMA’s logistics systems were unable to support large-scale logistical challenges. In addition, White House recommendations covered areas such as DHS expertise and experience, development of a national crisis communications system, and development of DHS regions that are fully staffed, trained, and equipped to manage and coordinate all preparedness activities and any emergency that may require a substantial federal response. Factors such as the experience and training of leadership and the adequacy of resources can lead to performance difficulties pointed out in the House Select Committee, the White House report, and in testimony before this committee. These difficulties would not, we believe, be fixed by simply moving FEMA to an independent status. Indeed, we know that many of lessons learned from Hurricane Katrina were acted on for Hurricane Rita, with a much better response effort, indicating that organizational change is not the primary key to success. Such factors, we believe, should be more carefully assessed and action taken where appropriate to strengthen any weaknesses in FEMA’s leadership and resources.",Yes,,0,False,False,True,False
P032,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",Yes,,,"The health care infrastructure in the New Orleans area, including emergency, hospital and clinic facilities, was significantly damaged by Hurricane Katrina. The city is struggling to restore some capacity to meet the immediate needs of the population currently there. Moreover, numerous decisions that will need to be made on how to rebuild the health care system. The decisions are complicated by several factors, including the need to improve efficiency by moving away from New Orleans hospital-centric system and uncertainty about how many people will return to New Orleans and where they will settle.",Yes,,0,False,False,True,False
P033,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",Yes,,,"Over the long term, building a new health care system will be vital to attract people back to New Orleans and ensure its recovery. State, local and federal governments all have important roles to play in the recovery process. At the state and local levels, commissions to plan for the future health care system have been established, and one has completed its work. The Bring New Orleans Back Commission issued recommendations shifting the focus, to the degree possible, toward ambulatory care, wellness and preventive medicine, health promotion and chronic disease prevention and away from institutional care; maintaining a university teaching hospital in New Orleans; and building capacity for electronic medical records. The commission also noted the difficulty of doing effective planning without reliable information on the population and what segments of the population will return. The Louisiana Recovery Authority included one task force dedicated to health care issues. The NRP also gives the Department of Health and Human Services a support role under long-term community recovery and mitigation to enable community recovery from the long-term consequences of a large-scale incident. We will be following HHS’ efforts to fulfill this role in the coming months.",Yes,,0,False,False,True,False
P034,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",No,,,"Secretary Chertoff has announced plans to emphasize several of these capabilities in the near term. For example, DHS will acquire a hardened set of communications capabilities, including equipment and specialized reconnaissance teams to improve awareness about conditions and events unfolding during a disaster. It was clear that DHS did not have adequate situational awareness of how Hurricane Katrina-caused conditions were worsening and thus required additional federal response. As was noted during a hearing before this committee, technological advances should provide the capability to prevent or significantly reduce “the fog of war” during a catastrophe. The secretary also has announced plans for better logistics and debris removal capabilities.",No,,0,False,False,False,False
P035,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",No,,,"Evacuation: This capability involves evacuation to areas of safe refuge in response to a potential or actual dangerous environment. Our early work indicated that some evacuations were considered successful, but others encountered serious challenges, including evacuating special needs populations. Evacuating those in hospitals and nursing homes due to Hurricane Katrina posed a special challenge. For example, although the National Disaster Medical System (NDMS) is a mechanism through which the federal government can provide assistance with patient evacuations, NDMS has agreements with hospitals only and does not address the needs of nursing homes.",No,,0,False,False,False,False
P036,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,Yes,,"Laws, plans and policies","1. Reogranize to mission, not turf. Congress should give the president limited authority to create a Citizen Preparedness Directorate within the Department of Homeland Security. Such a directorate would have authority to develop inter-agency plans, deploy and redeploy resources, and oversee government-wide activities to better prepare individual citizens and federal, state, and local agencies for a wide range of catastrophic events. Without displacing existing efforts within departments such as Homeland Security, Health and Human Services, Commerce, Interior, and Labor, and within agencies such as the Environmental Protection Agency, such a directorate should provide needed coordination and oversight to eliminate unnecessary duplication, while assuring that the nation is prepared to meet a range of hazards in coming years.",Yes,laws_plans_policies,1,False,False,False,False
P037,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,Yes,,"Laws, plans and policies","3. Reform the presidential appointments process. Congress should undertake significant and long-overdue reform of the presidential appointments process to assure that key positions are filled rapidly with qualified personnel. Congress can do so by reducing needless questions in the antiquated security clearance forms, while streamlining the unnecessarily detailed financial disclosure forms. In addition, Congress should reduce the number of presidential appointees significantly to assure that vacancies at lower levels of the political hierarchy do not produce delays in the federal response to catastrophic events.",Yes,laws_plans_policies,1,False,False,False,False
P038,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,Yes,,Miscellaneous,"6. Make evidence, not hunch, the coin of the realm. Too much of the conversation about preparedness has been driven by long-established ideas about how the public consumes information before, during, and after a disaster. But as the New York University studies suggest, public attitudes may be changing. Knowing more about how the public gets and processes information is essential for designing strategies for reaching all corners of a community.",Yes,misc_organizational,1,False,False,False,False
P039,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,No,,,"4. Draw upon the Department of Homeland Security playbook. Local governments should think hard about creating a governmentwide office of preparedness, which the Department of Homeland Security just created to enhance cooperation between all units involved in disaster education, funding, and preparedness. Creating a government-wide preparedness unit in the mayor’s or city manager’s office is easily done, and could reassure citizens provided that a talented professional is selected to head the operation. Cronyism has no place in such an appointment.",No,,0,False,False,False,False
P040,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,Yes,,Leadership,"5. Create a local command center. Local governments should also give close consideration to the Department of Homeland Security’s decision to create a department-wide operation unit that acts a command center during actual disasters. Structured to involve stakeholders across a region, such an operations center could improve reaction times, while minimizing finger-pointing during and after an event. However, such a command center is doomed to failure unless local governments put a single individual in charge of actual decisions.",Yes,leadership,1,False,False,False,False
P041,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,Yes,,Leadership,"The fourth and final pillar of a robust response system is alignment of all organizations to a central plan. There are not only too many cooks in the kitchen, as New Orleans Mayor Ray Nagin complained the day his levees collapsed, but too many recipes for action. Each one of the plans was no doubt drafted with the best of attentions, but they rarely blend together into a seamless whole. Having an aligned system means deciding who is in charge under which circumstances, then communicating that decision to the public.",Yes,leadership,1,False,False,False,False
P042,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,Yes,,"Laws, plans and policies; Leadership",Key Recommendations: CONGRESS SHOULD • ...give the president authority to create a new Citizen Preparedness Directorate. • ...give the president greater authority to strengthen the federal government’s human capital in the preparedness effort. • ...reform the presidential appointments process to assure that key positions are filled rapidly with qualified personnel.,Yes,laws_plans_policies | leadership,2,True,False,False,False
