source_group,original_path,sha256,size_bytes,reason,notes
desktop,Old Desktop/Unlearning Docs/gao-06-442t.pdf,c9e7b99af7e6cbc415bac3603f16bc2b82a72a4f7ba153cc2e7110700f4c3553,252713,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/Unlearning Docs/new/Unlearning_Codebook_Local_Context_Test_Set.xlsx,d5ac05ea0b0d1b3b80a5da12cb9beda58bd354b962821b00f19cccaeb7750fd3,45980,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/Unlearning_Codebook_Combined_Human_Test_Set.xlsx,97fce08b7ca7af29323c7cb6b59e3529e5a97a2c32e412067581963e7109436e,90271,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/codebook comparison/Unlearning Codebook_6April2026_v1_new.xlsx,af2f8b2a284994ff7f512f95b76b3ce22675323617bc61e41aab98145189d419,381332,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/codebook comparison/Unlearning Codebook_6April2026_v1_old.xlsx,9366e5d70f17434ab5124583ec687c87be07757e93737939895416a5218e3fb6,263519,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/predictions_long_v5_definitions_only_combined_human_test.csv,164425b84d005f7952f83f1bb881d3ad91512895ae13bfbe28e5ad4c04f8c230,208130,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/qm7 notes.txt,c6d8748d021ec51d2744012337f5eb2a151f2bda75a5e506f7871fd8bfbe6951,2570,unrelated QM7 project file,
desktop,Old Desktop/to send/Annotated Doc Public Administration Review - 2010 - McGuire - What if Hurricane Katrina Hit in 2020  The Need for Strategic Management of_unlearning.pdf,7f7c38c5e9590423961a6aebe61bd6bab9750ff4337b3d6537ab642943b7dfc6,630511,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Katrina2020_paragraph_labels.xlsx,0c1654f57ba890e504391c615ad31107882e2f31f7e2ccea80031447de5d3836,17634,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning Codebook_6April2026_v1 (1).xlsx,e03127f9f0e0f556c6503831b4512383e59da3f76a375eeac65ce4f5ef2ef45f,299669,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning Codebook_6April2026_v1 (2).xlsx,af2f8b2a284994ff7f512f95b76b3ce22675323617bc61e41aab98145189d419,381332,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning Codebook_6April2026_v1 (3).xlsx,0c690cdcff1f81a59eb6127edf12358d1f0bc5476601dd1cb87f30c175ae4040,350383,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning Codebook_6April2026_v1 (4).xlsx,2c7a94f9cdb7dbe07fdd903b821ce9e2360136b7522a1cbbbbd5c8e6026e16da,354352,semantic duplicate,cell-for-cell equivalent to data/codebooks/current/Unlearning_Codebook_2026-08_latest.xlsx
downloads,from downloads folder/Unlearning_AB_Test_Pipeline.ipynb,53c29159094717a6c4e835f1e0e0c59cc46b23c833a5c00f156de46409eba99f,54015,no stored outputs,
downloads,from downloads folder/Unlearning_AB_Test_Pipeline_v2.ipynb,34f10de162fb5fc51c3ade32b356244272b33c90caa4bac234a0ad947d0fa9ca,53878,no stored outputs,
downloads,from downloads folder/Unlearning_AB_Test_Pipeline_v2_5_4_nano.ipynb,82b7e03be405ea00fe5b3b384b4a3f734375a5b51d2d61e0e7bee7a5720afbf8,287125,exact duplicate of included output-bearing notebook,Included once as notebooks/historical/incomplete/prompt_ab_v2_5_4_nano_partial.ipynb.
downloads,from downloads folder/Unlearning_AB_Test_Pipeline_v3_PROMPT_PARITY_FIXED.ipynb,3c97ad2b9eb3da4207f1424803e653b7805de03f539887814accdc9a9e4448fa,88522,no stored outputs,
downloads,from downloads folder/Unlearning_AB_Test_Pipeline_v4_PROVIDER_SEPARATED_FIXED.ipynb,ad9e7d0c8fa5a3d33a29c3f4fb92d9abdd586534aafd6fc9b8f4322a7bbf10bf,95602,no stored outputs,
downloads,from downloads folder/Unlearning_AB_Testing_Pipeline.ipynb,4c88b53fab9f4d2863ebbcc64b96500daee922180973f9dd5c01629b785114b6,46535,no stored outputs,
downloads,from downloads folder/Unlearning_Codebook_Local_Context_Paragraph_Cleaned.xlsx,02c32a50203a593785cd7b0e82737c80eb60c4dd56a48702b4619dbe5b8e7e5c,117616,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning_Codebook_Local_Context_Test_Set.xlsx,d5ac05ea0b0d1b3b80a5da12cb9beda58bd354b962821b00f19cccaeb7750fd3,45980,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning_Codebook_Local_Context_Verified_Document_Titles (1).xlsx,e652d604aac8deaba8c9c4d74326e850b7d877d2bb5d1c08e572cd1be473fc26,96164,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning_Codebook_Local_Context_Verified_Document_Titles.xlsx,e652d604aac8deaba8c9c4d74326e850b7d877d2bb5d1c08e572cd1be473fc26,96164,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning_Curated_GPT_Test_EPA_Reevaluation_KyleOnly_Removed.xlsx,6884dee9ed55b7294d5cc4bfb39579893d479d9cc51bf1c7764f8d9af2f57b60,78683,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning_Curated_GPT_Test_Revised_Codebook.xlsx,54aa2ffd70c0b1e64c8e722961ba8ba4e86091af330c59ffd5ce4957b1217cca,57564,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning_Definitions_Only_Pipeline (1).ipynb,dff184dad0153e7b084eecefbb33ce7fb68be165d76b81383823ed548fbcb8b8,614071,exact duplicate of included output-bearing notebook,Included once as notebooks/historical/completed/definitions_only_codebook_benchmark_executed.ipynb.
downloads,from downloads folder/Unlearning_Definitions_Only_Pipeline_Combined_Human_Test_Set.ipynb,432cff5c1edc7fc0bdf6df8d724790059fca6aac1cfec7c815653e838e25f487,137297,no stored outputs,
downloads,from downloads folder/Unlearning_Evidence_First_v6_49Rows_Pipeline.ipynb,ec415aa2025d5d9411518b55ec1c7139eb942a2a0e6ddd0b1f9e25e9ec586a0c,79851,no stored outputs,
downloads,from downloads folder/Unlearning_Final_FullPDF_AB_Evaluation_Pipeline.ipynb,6184b8e30c2850b3f859ae540998651e4aba8e7fb21a509941980326e53ad660,274089,no stored outputs,
downloads,from downloads folder/Unlearning_GPT_Test_Paragraph_Aligned_ALL (1).xlsx,eea91ee31b51187774880fa395e75f4e0fc7bb90419a16fbaab4bbb99ea55d83,287075,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning_GPT_Test_Paragraph_Aligned_ALL.xlsx,eea91ee31b51187774880fa395e75f4e0fc7bb90419a16fbaab4bbb99ea55d83,287075,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/Unlearning_LangChain_Retrieval_AUROC_Experiment.ipynb,3c9daf3fd7aed162d2b23943b014d41859db36b7cfe62e42c7065b45c50bcda3,237691,no stored outputs,
downloads,from downloads folder/Unlearning_Local_Context_Definitions_Only_FIXED.ipynb,6670133349784eaba508e30037ab8983b7d405ca2ee8fbc6561033f103d78aac,73473,no stored outputs,
downloads,from downloads folder/Unlearning_Paragraph_Level_Colab_Experiment.ipynb,83ae1811ce7601f1a43474bcb3caa51a0d2df169bf17d3178bd26033b1cd53b6,270635,no stored outputs,
downloads,from downloads folder/Unlearning_Paragraph_Level_GPT_Test_First_Colab.ipynb,8c394f3643d561868b173713c6df1b499ea9a7feba6326d3995d1f578fd4adc7,319592,no stored outputs,
downloads,from downloads folder/Unlearning_Phase1_Probability_Postprocessing.ipynb,79f4232a94f60a297f7c391e2433924f21d6a41b844bab26ffe19e57231bca1b,210036,no stored outputs,
downloads,from downloads folder/Unlearning_PreLangChain_FollowUp_v1_3_1_Corrected_Audit_Adjudication (2).ipynb,d56fd024e0474b6daab0e765fd9e47dbe3bae2dd5955ecd3da2c964f73d2f651,1148524,exact duplicate of included output-bearing notebook,Included once as notebooks/historical/completed/prelangchain_posthoc_v1_3_1_corrected_audit_executed.ipynb.
downloads,from downloads folder/Unlearning_PreLangChain_FollowUp_v1_3_1_Corrected_Audit_Adjudication.ipynb,cb97563c159032a41825d3ebd4dbe1be00bb025c5aaa1a80ee4ab85f5b84dc5f,174128,no stored outputs,
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1.ipynb,64730cde82e9878ffd73bce172ff1c66aa55c290b824f4ec3cf8f067192f23af,213182,no stored outputs,
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1_1_REPAIRED.ipynb,ede5853d76dcfe536541db43d9e525a2543aabd3e22b0d80ff9dfb62384082cb,237943,no stored outputs,
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1_2_API_HARDENED.ipynb,1723135b14cf460ff12100a4e54946c45f11a3c52feac979aee0b7498a561531,272402,no stored outputs,
downloads,from downloads folder/Unlearning_PreLangChain_Full_AB_Experiment_v1_2_PHASE2_RESUME_ORGANIZED.ipynb,9fede3e47b6495d6da8e3a9155a5d49714736b94ce58db219f346cf90bbd6b45,306048,no stored outputs,
downloads,from downloads folder/Unlearning_Production_MultiDocument_Annotation_Pipeline.ipynb,b6b81b94ed493f3755b477e193667178548eac6621fa93629faf15f4454f34c4,89550,no stored outputs,
downloads,from downloads folder/Unlearning_Production_MultiDocument_Annotation_Pipeline_v2_Verified_Extraction.ipynb,6e0a2fc9d8f2367686656218290df8adac113d3b903cc9259eadeffcf59f9fe3,144226,no stored outputs,
downloads,from downloads folder/Unlearning_Project_Reproducibility_Mega_Notebook_v1.ipynb,d7386c0d5756f40361b00c6777dd59d720fc01df7c559e78ee43c19ad08c96d8,75765,no stored outputs,
downloads,from downloads folder/Unlearning_Prompt_AB_Test_Results.pptx,5948b657e21c4a94521097876f7bf67b3c18a3f307efcf599699221c78792c74,94200,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/gpt_test_selected_models_manual_review.csv,373134df323ceb476298f02ed76fa13b8a7ea1edd2dc95ca184a8a6a7dabb223,303725,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/katrina_unlearning_paragraph_dataset.xlsx,3fd6ca0d178c555bef3a03011b234b903e08a17448ab3562646371a26dc99834,125290,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/predictions_grouped_by_context (1).xlsx,528be2a10e4a94095725edead586480b89d86f72224b5c94bd9d1ac28da0839e,35447,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/predictions_grouped_by_context.xlsx,528be2a10e4a94095725edead586480b89d86f72224b5c94bd9d1ac28da0839e,35447,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/predictions_long (1).csv,e75be398effb287fe4a5892127306115625c64230a87c7270f705e8489956878,79311,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/probability_rows.csv,f094fc6e8b7f54897eb8fc7d747b0c7b441290782e6f2692f58320b270d39b44,2959381,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/reliability_overall (1).csv,4e76d2291e197220e91fdb09699c29a7a6cd5425c48fc018e369270a66f4314c,733,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
downloads,from downloads folder/unlearning_llm_ab_test_pipeline.ipynb,9f82ade72c97d2888e637095314f6da5d5d8aef2fd4e3cee4dd4726b79da2a31,61884,no stored outputs,
drive,Unlearning_Paragraph_Level_LLM_Experiment/paragraph_level_gpt_test_first_v2_20260821__peer_review_bundle.zip,afab6012c4f1ccc1500cfae2b60750aaacc410f390a98f8e224d15200a98789a,10555268,redundant nested ZIP,The repository includes the unpacked experiment package and is itself delivered as a ZIP.
drive,Unlearning_Project/Unlearning_GPT_Test_Paragraph_Aligned_ALL.xlsx,a148051e24ccab080b35a2404cebddeff24cd7c0aec9b5af1f45c42a39c85d31,284948,exact duplicate of the immutable Aug. 23 run input already included,Included at experiments/2026-08-23_gpt-test-first/inputs/Unlearning_GPT_Test_Paragraph_Aligned_ALL.xlsx.
transfer_archive,From Desktop Folder.zip,099245fc0bdabdda3070463dd850efa88d988d679019996c142878da68686a6d,10335875,source transfer container; reorganized contents are included instead,
transfer_archive,From Google Drive Latest.zip,26e1cb1b772ba18bab52782b87545de7e1aff935bff70635b5d572adb791d654,49675322,source transfer container; reorganized contents are included instead,
transfer_archive,from downloads folder.zip,587fb41d64102bd8b6a6313edeb1764ea84c39c822679aeea436ae6f09e2fdd2,10841934,source transfer container; reorganized contents are included instead,
