condition_id,provider,document_title,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,reasoning_tokens,cached_input_tokens,cache_creation_input_tokens,estimated_cost_usd,mean_latency_seconds
P1_DIRECT__C2_metadata,anthropic,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,8,13,6,3,2,10,0.42857142857142855,0.4875,0.75,0.375,0.6,0.5,-0.021926450482675733,-0.016129032258064502,0.23076923076923078,0.4955142857142857,1.0,0.8095238095238095,0.8885714285714286,34050,2698,0,0.0,0,0.04754,1.5873259149998593
P1_DIRECT__C2_metadata,anthropic,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,4,3,4,1,0,2,0.7142857142857143,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,0.47140452079103173,0.36363636363636376,0.3333333333333333,0.2835857142857143,1.0,1.0,0.8585714285714287,11259,1055,0,0.0,0,0.016534,1.7338739012857332
P1_DIRECT__C2_metadata,gemini,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,4,3,1,6,0.5,0.575,0.8,0.4,0.75,0.5333333333333333,0.1414213562373095,0.10909090909090913,0.3333333333333333,0.4425,1.0,1.0,0.9357142857142858,8944,2348,1382,,0,0.005757999999999999,2.3235268614283933
P1_DIRECT__C2_metadata,gemini,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,5,16,5,5,0,11,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.5004761904761905,1.0,0.9523809523809523,0.9476190476190476,12015,3386,2189,,0,0.00808275,1.2558506108096568
P1_DIRECT__C2_metadata,gemini,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,5,2,5,1,0,1,0.8571428571428571,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,0.6454972243679028,0.588235294117647,0.5,0.13785714285714284,1.0,1.0,0.9142857142857144,3904,1144,660,,0,0.002692,1.183215233714431
P1_DIRECT__C2_metadata,openai,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,3,11,3,4,0,7,0.5,0.65,1.0,0.3,1.0,0.46153846153846156,0.3302891295379082,0.19672131147540972,0.36363636363636365,0.43075,1.0,1.0,0.9221428571428573,13931,2470,724,0.0,4551,0.07472187500000001,2.7445314436426997
P1_DIRECT__C2_metadata,openai,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,5,16,5,5,0,11,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.47906190476190474,1.0,0.9523809523809523,0.911904761904762,19440,3404,1071,0.0,3167,0.10163937499999999,2.119443099571418
P1_DIRECT__C2_metadata,openai,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,1,6,1,1,0,5,0.2857142857142857,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.05405405405405417,0.16666666666666666,0.6036571428571429,1.0,1.0,0.9228571428571427,6405,1187,415,0.0,0,0.0338175,2.2171626279999015
P1_DIRECT__C3_plusminus1,anthropic,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,10,4,7,1,3,3,0.5714285714285714,0.475,0.7,0.7,0.25,0.7,-0.05,-0.050000000000000044,0.25,0.3262928571428571,1.0,0.7857142857142857,0.8478571428571426,28165,2672,0,0.0,0,0.041525,2.5251583573572134
P1_DIRECT__C3_plusminus1,anthropic,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,10,11,8,3,2,8,0.5238095238095238,0.55,0.8,0.5,0.6,0.6153846153846154,0.08528028654224416,0.07079646017699126,0.2727272727272727,0.42141428571428574,1.0,0.8571428571428571,0.8833333333333332,38845,3157,0,0.0,0,0.05462999999999999,1.9566960977141814
P1_DIRECT__C3_plusminus1,anthropic,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,6,1,6,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03128571428571429,1.0,1.0,0.8314285714285715,12746,1454,0,0.0,0,0.020016,2.372013473714105
P1_DIRECT__C3_plusminus1,gemini,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.3916071428571429,1.0,1.0,0.9392857142857143,13059,2352,1824,,0,0.006792749999999999,1.3835407875002212
P1_DIRECT__C3_plusminus1,gemini,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,6,15,6,5,0,10,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.4725,1.0,0.9523809523809523,0.9452380952380951,16455,3495,2211,,0,0.00935625,2.03155565285711
P1_DIRECT__C3_plusminus1,gemini,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,4,3,4,1,0,2,0.7142857142857143,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,0.47140452079103173,0.36363636363636376,0.3333333333333333,0.2385714285714286,1.0,1.0,0.9000000000000001,5312,1277,668,,0,0.0032435000000000003,1.2278156988567974
P1_DIRECT__C3_plusminus1,openai,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.3651571428571429,1.0,0.9285714285714286,0.8957142857142858,17945,2725,1002,0.0,17903,0.09692687500000001,2.5127148639287173
P1_DIRECT__C3_plusminus1,openai,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,6,15,6,5,0,10,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.4319714285714286,1.0,0.9523809523809523,0.8828571428571428,23743,3507,1008,0.0,18758,0.12368625000000001,2.5686003131903425
P1_DIRECT__C3_plusminus1,openai,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,2,5,2,1,0,4,0.42857142857142855,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.2581988897471611,0.125,0.2,0.4887,1.0,1.0,0.8985714285714286,7762,998,218,0.0,6781,0.038613125000000005,1.9281357127143306
P1_DIRECT__C4_plusminus2,anthropic,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,10,4,7,1,3,3,0.5714285714285714,0.475,0.7,0.7,0.25,0.7,-0.05,-0.050000000000000044,0.25,0.3262928571428571,1.0,0.7857142857142857,0.8478571428571428,31953,2686,0,0.0,0,0.045383,2.2591799486429927
P1_DIRECT__C4_plusminus2,anthropic,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,13,8,11,3,2,5,0.6666666666666666,0.64375,0.8461538461538461,0.6875,0.6,0.7586206896551724,0.25215418055077093,0.23834196891191706,0.375,0.29577619047619047,1.0,0.8095238095238095,0.8528571428571429,43358,3644,0,0.0,0,0.061578,2.070529673095258
P1_DIRECT__C4_plusminus2,anthropic,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,7,0,6,0,1,0,0.8571428571428571,0.5,0.8571428571428571,1.0,0.0,0.9230769230769231,0.0,0.0,,0.11642857142857142,1.0,1.0,0.8114285714285715,14219,1659,0,0.0,0,0.022514,2.537535381286034
P1_DIRECT__C4_plusminus2,gemini,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,4,3,1,6,0.5,0.575,0.8,0.4,0.75,0.5333333333333333,0.1414213562373095,0.10909090909090913,0.3333333333333333,0.435,1.0,1.0,0.9357142857142858,16564,2335,2105,,0,0.0076435,1.4142056880714904
P1_DIRECT__C4_plusminus2,gemini,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,8,13,7,4,1,9,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.3076923076923077,0.4442857142857144,1.0,1.0,0.9380952380952379,20623,3484,2083,,0,0.01038175,1.455666335428253
P1_DIRECT__C4_plusminus2,gemini,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,5,2,5,1,0,1,0.8571428571428571,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,0.6454972243679028,0.588235294117647,0.5,0.1242857142857143,1.0,1.0,0.9000000000000001,6703,1314,664,,0,0.0036467500000000003,6.161392918286164
P1_DIRECT__C4_plusminus2,openai,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,3,11,3,4,0,7,0.5,0.65,1.0,0.3,1.0,0.46153846153846156,0.3302891295379082,0.19672131147540972,0.36363636363636365,0.4100142857142857,1.0,1.0,0.8985714285714287,21371,2857,1048,0.0,21329,0.10961312499999999,2.9727400822856516
P1_DIRECT__C4_plusminus2,openai,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,4,17,4,5,0,12,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.29411764705882354,0.48880476190476185,1.0,0.9523809523809523,0.9128571428571431,27757,3560,1057,0.0,27694,0.14010125,1.9998551445715704
P1_DIRECT__C4_plusminus2,openai,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,2,5,2,1,0,4,0.42857142857142855,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.2581988897471611,0.125,0.2,0.4765857142857142,1.0,1.0,0.8614285714285713,9102,1562,765,0.0,9081,0.051860625,2.6402455102857596
P3_D2_CURRENT__C1_target,anthropic,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,3,11,3,4,0,7,0.5,0.65,1.0,0.3,1.0,0.46153846153846156,0.3302891295379082,0.19672131147540972,0.36363636363636365,0.4408714285714285,1.0,1.0,0.9185714285714284,27377,2921,0,0.0,0,0.041982000000000005,2.315010189142884
P3_D2_CURRENT__C1_target,anthropic,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,8,13,7,4,1,9,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.3076923076923077,0.4239761904761905,1.0,0.9047619047619048,0.89,39903,4639,0,0.0,0,0.063098,2.7248292091428215
P3_D2_CURRENT__C1_target,anthropic,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,5,2,5,1,0,1,0.8571428571428571,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,0.6454972243679028,0.588235294117647,0.5,0.15127142857142856,1.0,0.8571428571428571,0.8357142857142857,13111,1490,0,0.0,0,0.020561,2.73238428042857
P3_D2_CURRENT__C1_target,gemini,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,3,11,3,4,0,7,0.5,0.65,1.0,0.3,1.0,0.46153846153846156,0.3302891295379082,0.19672131147540972,0.36363636363636365,0.48803571428571424,1.0,0.9285714285714286,0.975,10349,3452,1377,,0,0.0077652500000000005,1.496724102642848
P3_D2_CURRENT__C1_target,gemini,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,4,17,4,5,0,12,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.29411764705882354,0.5552380952380952,1.0,0.9523809523809523,0.9714285714285713,14445,5222,2686,,0,0.011444250000000001,1.6389290322380627
P3_D2_CURRENT__C1_target,gemini,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,3,4,3,1,0,3,0.5714285714285714,0.75,1.0,0.5,1.0,0.6666666666666666,0.3535533905932738,0.2222222222222221,0.25,0.4328571428571428,1.0,0.8571428571428571,0.9571428571428573,4639,1728,747,,0,0.00375175,1.5461995428572664
P3_D2_CURRENT__C1_target,openai,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,5,4,0,5,0.6428571428571429,0.75,1.0,0.5,1.0,0.6666666666666666,0.4714045207910317,0.36363636363636365,0.4444444444444444,0.3275428571428571,1.0,1.0,0.91,16271,3063,1050,0.0,16229,0.09676562500000001,2.7983656089285773
P3_D2_CURRENT__C1_target,openai,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,3,18,3,5,0,13,0.38095238095238093,0.59375,1.0,0.1875,1.0,0.3157894736842105,0.22821773229381923,0.09900990099009888,0.2777777777777778,0.576,1.0,0.9523809523809523,0.9266666666666667,23334,4208,1200,0.0,23271,0.135999375,2.809853562000014
P3_D2_CURRENT__C1_target,openai,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,2,5,2,1,0,4,0.42857142857142855,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.2581988897471611,0.125,0.2,0.4985,1.0,1.0,0.9242857142857144,7609,1333,373,0.0,7588,0.04376,2.5075338385713946
P3_D2_CURRENT__C2_metadata,anthropic,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.3878785714285714,1.0,1.0,0.9107142857142855,28253,2997,0,0.0,0,0.043238,2.884586212643041
P3_D2_CURRENT__C2_metadata,anthropic,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,8,13,7,4,1,9,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.3076923076923077,0.42950952380952373,1.0,0.8571428571428571,0.885238095238095,40812,4564,0,0.0,0,0.06363200000000001,2.1119310988569415
P3_D2_CURRENT__C2_metadata,anthropic,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,5,2,5,1,0,1,0.8571428571428571,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,0.6454972243679028,0.588235294117647,0.5,0.15928571428571428,1.0,0.8571428571428571,0.8400000000000001,13513,1521,0,0.0,0,0.021117999999999998,3.229233187571481
P3_D2_CURRENT__C2_metadata,gemini,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.43089285714285713,1.0,0.9285714285714286,0.975,11142,3466,2053,,0,0.0079845,1.5817588759284393
P3_D2_CURRENT__C2_metadata,gemini,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,4,17,4,5,0,12,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.29411764705882354,0.5552380952380952,1.0,0.9523809523809523,0.9714285714285713,15312,5211,3844,,0,0.0116445,1.6717051358571342
P3_D2_CURRENT__C2_metadata,gemini,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,3,4,3,1,0,3,0.5714285714285714,0.75,1.0,0.5,1.0,0.6666666666666666,0.3535533905932738,0.2222222222222221,0.25,0.4328571428571428,1.0,1.0,0.9571428571428573,5003,1761,1222,,0,0.00389225,7.583448028999767
P3_D2_CURRENT__C2_metadata,openai,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,5,4,0,5,0.6428571428571429,0.75,1.0,0.5,1.0,0.6666666666666666,0.4714045207910317,0.36363636363636365,0.4444444444444444,0.33850714285714284,1.0,1.0,0.9064285714285714,17025,3050,1052,0.0,16983,0.09892687500000001,2.6581424196428998
P3_D2_CURRENT__C2_metadata,openai,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,1,20,1,5,0,15,0.2857142857142857,0.53125,1.0,0.0625,1.0,0.11764705882352941,0.125,0.03076923076923066,0.25,0.6313904761904762,1.0,1.0,0.9352380952380953,24081,4476,1479,0.0,24018,0.14235374999999997,2.633286435142855
P3_D2_CURRENT__C2_metadata,openai,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,1,6,1,1,0,5,0.2857142857142857,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.05405405405405417,0.16666666666666666,0.6375571428571428,1.0,1.0,0.9357142857142857,7952,1098,125,0.0,7931,0.041306875,1.9739815347143772
P3_D2_CURRENT__C3_plusminus1,anthropic,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,5,4,0,5,0.6428571428571429,0.75,1.0,0.5,1.0,0.6666666666666666,0.4714045207910317,0.36363636363636365,0.4444444444444444,0.34372857142857144,1.0,0.9285714285714286,0.84,32673,3188,0,0.0,0,0.048612999999999996,2.50222228192849
P3_D2_CURRENT__C3_plusminus1,anthropic,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,11,10,10,4,1,6,0.6666666666666666,0.7125,0.9090909090909091,0.625,0.8,0.7407407407407407,0.3624412178045377,0.3162790697674418,0.4,0.2892952380952381,1.0,0.8571428571428571,0.8457142857142856,45607,4774,0,0.0,0,0.06947700000000001,2.772132622047398
P3_D2_CURRENT__C3_plusminus1,anthropic,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,5,2,5,1,0,1,0.8571428571428571,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,0.6454972243679028,0.588235294117647,0.5,0.11185714285714286,1.0,1.0,0.8085714285714287,15000,1508,0,0.0,0,0.022539999999999998,2.164103337142868
P3_D2_CURRENT__C3_plusminus1,gemini,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,5,4,0,5,0.6428571428571429,0.75,1.0,0.5,1.0,0.6666666666666666,0.4714045207910317,0.36363636363636365,0.4444444444444444,0.36017857142857146,1.0,1.0,0.9678571428571429,15257,3520,3428,,0,0.009094249999999998,3.26400404499993
P3_D2_CURRENT__C3_plusminus1,gemini,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,2,19,2,5,0,14,0.3333333333333333,0.5625,1.0,0.125,1.0,0.2222222222222222,0.18136906252750293,0.06369426751592355,0.2631578947368421,0.6404761904761905,1.0,0.9523809523809523,0.9761904761904762,19752,5131,3762,,0,0.0126345,1.7337352174285916
P3_D2_CURRENT__C3_plusminus1,gemini,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,3,4,3,1,0,3,0.5714285714285714,0.75,1.0,0.5,1.0,0.6666666666666666,0.3535533905932738,0.2222222222222221,0.25,0.4314285714285714,1.0,1.0,0.9714285714285715,6411,1716,2964,,0,0.00417675,2.264384785857065
P3_D2_CURRENT__C3_plusminus1,openai,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,5,4,0,5,0.6428571428571429,0.75,1.0,0.5,1.0,0.6666666666666666,0.4714045207910317,0.36363636363636365,0.4444444444444444,0.3261785714285714,1.0,1.0,0.9150000000000001,21039,3155,1150,0.0,20997,0.113045625,2.869223296357112
P3_D2_CURRENT__C3_plusminus1,openai,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,3,18,3,5,0,13,0.38095238095238093,0.59375,1.0,0.1875,1.0,0.3157894736842105,0.22821773229381923,0.09900990099009888,0.2777777777777778,0.5587714285714286,1.0,1.0,0.9095238095238096,28384,5032,2030,0.0,28321,0.16414062499999998,3.0472484481428443
P3_D2_CURRENT__C3_plusminus1,openai,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,3,4,3,1,0,3,0.5714285714285714,0.75,1.0,0.5,1.0,0.6666666666666666,0.3535533905932738,0.2222222222222221,0.25,0.37579999999999997,1.0,0.8571428571428571,0.8942857142857142,9309,1607,607,0.0,9288,0.0531825,2.897300116142755
P3_D2_CURRENT__C4_plusminus2,anthropic,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,6,8,6,4,0,4,0.7142857142857143,0.8,1.0,0.6,1.0,0.75,0.5477225575051661,0.46153846153846156,0.5,0.26512857142857144,1.0,0.9285714285714286,0.8600000000000001,36461,3195,0,0.0,0,0.05243600000000001,2.727525798928582
P3_D2_CURRENT__C4_plusminus2,anthropic,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,11,10,10,4,1,6,0.6666666666666666,0.7125,0.9090909090909091,0.625,0.8,0.7407407407407407,0.3624412178045377,0.3162790697674418,0.4,0.28861904761904766,1.0,0.8095238095238095,0.8495238095238096,50120,5156,0,0.0,0,0.07590000000000001,2.8080196582854375
P3_D2_CURRENT__C4_plusminus2,anthropic,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,6,1,6,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313,1.0,1.0,0.83,16473,1624,0,0.0,0,0.024592999999999997,3.7365508917142245
P3_D2_CURRENT__C4_plusminus2,gemini,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.4314285714285714,1.0,1.0,0.9714285714285714,18762,3490,4428,,0,0.0099255,2.1748067749287623
P3_D2_CURRENT__C4_plusminus2,gemini,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,3,18,3,5,0,13,0.38095238095238093,0.59375,1.0,0.1875,1.0,0.3157894736842105,0.22821773229381923,0.09900990099009888,0.2777777777777778,0.6082142857142857,1.0,0.9523809523809523,0.9738095238095238,23920,5176,4408,,0,0.013744,3.0697691235714344
P3_D2_CURRENT__C4_plusminus2,gemini,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,2,5,2,1,0,4,0.42857142857142855,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.2581988897471611,0.125,0.2,0.5457142857142857,1.0,1.0,0.9714285714285715,7802,1723,2811,,0,0.004535000000000001,2.430803525571475
P3_D2_CURRENT__C4_plusminus2,openai,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,5,4,0,5,0.6428571428571429,0.75,1.0,0.5,1.0,0.6666666666666666,0.4714045207910317,0.36363636363636365,0.4444444444444444,0.3310071428571429,1.0,0.8571428571428571,0.9164285714285715,24465,3069,1034,0.0,24423,0.122461875,3.3343287900000047
